fen,next_move,move_type,material_diff,num_legal_moves,is_in_check,center_control
1nq1k1nr/2p1p2p/4p3/1P1p1P2/7P/rP6/3PP1P1/1N1QKB1R w K - 1 16,e2e3,0,-3,19,0,0
6k1/r2p4/1p1p1q2/3P2PP/Pp6/8/3nPK2/3N4 w - - 1 30,g5f6,1,-13,6,1,0
r2qkbnr/p2bpp2/p2p2pp/2p5/4P1Q1/8/PPPP1PPP/RNB1K2R b Qkq - 1 8,d7g4,1,-3,26,0,2
r1b1k3/8/p4n2/2pp4/N7/2K3P1/P1P1P2R/2R2BN1 b - - 1 23,c8h3,0,9,22,0,4
3q1k2/b1p5/p2p1p2/3P1P2/7p/8/8/5K2 b - - 1 31,a7e3,0,-15,22,0,3
6b1/7p/np5k/2p1P3/7K/8/8/8 w - - 1 35,e5e6,0,-8,4,0,0
8/rp4p1/3Pk2p/4p3/2P1n3/2N4P/6P1/4K3 b - - 1 30,a7a1,0,-5,25,0,3
r3k2r/p2npp1p/7n/3p3p/1P2PP1P/P1b3P1/2PP4/R1B1K1R1 w Qq - 1 17,d2c3,1,-4,17,0,2
1n3Rnr/1p1pp1pp/4p1k1/8/1P2PP2/5N2/3PK1PP/8 w - - 1 16,f3g5,0,-3,29,0,4
2k5/2n4p/2n5/8/P7/1PN1K2P/6P1/R6R w - - 1 25,g2g3,0,10,34,0,4
4kbr1/6pp/1r2p3/2n5/1P3P2/3P1N2/1Q2P2P/1R3K1b b - - 1 26,h1f3,1,0,28,0,2
rn3b1r/1bp3kp/p2p4/8/2P3n1/3P2P1/P2NP1BP/3K3R b - - 1 22,b7g2,1,-9,28,0,4
1rb1k3/3p4/8/1pp1p3/p3n3/3P4/PPP2PPN/R2K4 b - - 1 23,c8b7,0,-2,21,0,2
r1bqk1n1/p2p1p2/2p1p2p/1p2B1p1/4PN2/6P1/P1PPBP1P/RN1QK2R b q - 1 12,g5f4,1,10,23,0,2
7r/5k2/r7/3p3P/8/p1n1PpP1/P4K2/R7 b - - 1 24,h8h5,1,-7,36,0,3
rnbqkbnr/pp1pppp1/2p4p/8/8/6N1/PPPPPPPP/R1BQKBNR b KQkq - 1 3,a7a6,0,0,20,0,1
r1bqkbnr/p1pp1ppp/n7/1p2p1B1/1P6/2PP4/P3PPPP/RN1QKBNR b KQkq - 1 4,c7c6,0,0,25,0,1
r7/B1kn4/5p2/P2P4/2p3p1/5NP1/2P1PK2/5B1r w - - 1 29,f3h2,0,-2,23,0,3
2b5/3p4/npp1p3/4P1pk/2P1P3/b7/K7/8 w - - 1 26,a2a3,1,-11,5,0,2
rnbqkbnr/p1pppppp/1p6/8/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2,f7f5,0,0,21,0,0
rn2kb1r/p1pp3p/bp2p3/3P1Np1/8/1P6/P1PQ2P1/RNB1KB1n w Qkq - 1 11,f1a6,1,2,38,0,3
4kb1r/3n1p2/4pp2/1pPq3p/1p5P/1P3PP1/P3KP2/RN5R b k - 1 18,d5b3,1,-6,32,0,6
N1b1k3/3p1p2/1p6/p3p2R/P4P1Q/3p4/2PPB3/R2K2N1 b - - 1 21,d3e2,1,23,12,0,1
r4br1/p5n1/p1k3p1/P1p5/1P5p/2K5/8/8 w - - 1 35,b4c5,1,-19,8,0,1
3q1br1/1pp1kp1p/2n5/6p1/p3P1P1/3P3B/PPp3QP/R1B1K1NR w KQ - 1 15,g1f3,0,7,23,0,3
8/2k5/p1p5/P1B5/7R/3P4/8/5K2 w - - 1 39,h4g4,0,8,31,0,4
rnbqkbnr/pp1ppp1p/2p3p1/8/1P1P4/3Q4/P1P1PPPP/RNB1KBNR b KQkq - 1 3,h7h5,0,0,22,0,1
1rb1k1nr/1p3p2/p7/2N3pp/1b6/1P6/P1P1PKPP/1RBq1BNR b k - 1 11,b4c5,1,-5,39,0,2
rnbqkbnr/ppppp1pp/5p2/8/7P/5N2/PPPPPPP1/RNBQKB1R b KQkq - 1 2,e8f7,0,0,19,0,1
r1bq2k1/pp1ppp2/n1p5/6P1/3P4/8/PPP1PPP1/RN1K1BNR w - - 1 12,a2a3,0,1,29,0,1
4kbn1/4p2r/2n4p/3p4/6NP/K1P5/4P1R1/8 w - - 1 27,h4h5,0,-6,18,0,2
r1k3nr/p3ppb1/2n4p/1p4p1/6P1/PP2P2N/3KBP1P/R1BQ2R1 w - - 1 14,h3g5,1,9,26,0,1
rnbqkb2/pppp4/5pp1/P7/3p4/3P3P/1PPQP2P/R2K1B1n b q - 1 13,f8d6,0,-9,23,0,1
rn1qkr2/pbpp1p1p/1p4pn/4p3/4P3/1P3B2/P1PK3P/RNB1Q1NR w q - 1 11,b1c3,0,0,30,0,3
rn1q1bnr/2p1ppp1/bpp1k2B/8/4P1P1/3P4/PPP2P1P/R2QKBNR w KQ - 1 9,g1f3,0,-1,34,0,2
rn4n1/1pp2k2/8/pbb5/4P1p1/1P6/2K2P2/8 b - - 1 21,b5e2,0,-18,38,0,1
rnbqkbnr/p1pppppp/1p6/8/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,g7g6,0,0,21,0,0
3rkr2/1ppn2pp/4B3/p2Pp3/6K1/1P2P3/P6P/b1B3NR b - - 1 22,a1d4,0,-3,30,0,4
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,0,0,20,0,0
1nbqkbnr/1p1ppp1p/2p3p1/8/R1P5/6P1/1P1PPPBP/1NB1K1NR b Kk - 1 7,b8a6,0,-4,20,0,1
4k1n1/8/5bb1/8/R1P5/3P4/1P2K3/8 b - - 1 31,f6g7,0,-1,23,0,3
rnb1kbr1/p6p/3pp1p1/1P4K1/P7/3p3P/R7/1N6 b - - 1 22,f8h6,0,-14,22,0,2
8/8/4k3/4p3/P3PB2/2P5/1P3PP1/5K2 b - - 1 36,e6f6,0,8,6,0,3
k7/8/4p3/3pRp2/PK1P1P2/7P/P7/8 w - - 1 38,e5d5,1,7,16,0,4
1k6/8/8/3K1p1p/5p2/8/8/4R3 w - - 1 36,e1e7,0,2,21,0,5
8/6b1/2k5/6p1/3p4/3p4/3r4/K7 b - - 1 35,g7e5,0,-11,22,0,3
1nbqkbn1/2ppp3/6r1/p2P1p2/Np6/2P2P2/PP2K1P1/2R5 w - - 1 17,c3b4,1,-18,25,0,2
4k3/p7/3r1b2/5pp1/3p4/3P4/PP3PP1/R1BK4 w - - 1 22,c1g5,1,1,17,0,1
r3k2r/ppp1b3/2np4/5bp1/3P1B2/P7/RPP5/1N4K1 b q - 1 19,e8d8,0,-9,43,0,4
1r6/p3k3/8/P1n5/8/4nK2/8/8 b - - 1 35,e7e8,0,-11,39,0,2
6nr/8/pn6/6pp/5k2/8/3K4/8 b - - 1 34,b6a4,0,-14,20,0,3
r1b1k1nr/3p2p1/p1p2p1p/1p2p3/6PP/P1P4K/RP2Nq2/1Q3BNR w k - 1 20,b1d1,0,0,24,0,3
r1bqk2r/p1pppp1p/1p4p1/n6n/P2bP1P1/5N2/1PPB1P1P/RN1QKB1R b KQkq - 1 9,g6g5,0,-1,35,0,1
r5n1/p1n2k2/2p5/3p3r/3P4/P1PN4/P2K1P1P/3Q1B1R b - - 1 18,h5h2,1,7,31,0,5
3qkb1r/1ppbp1p1/r4p1p/8/p4P2/5K2/PPPP2PP/RNB4R b k - 1 13,d7h3,0,-9,31,0,1
4bbR1/p3pk2/p4p1Q/2p2P1p/4p3/2P5/3P2P1/5KN1 b - - 1 21,e7e5,0,8,13,0,2
5k2/1p6/p3p2P/8/P6P/2p5/2P5/RN4K1 b - - 1 36,b7b6,0,8,8,0,1
rn1b1k2/1p6/3p4/R7/3P4/1p6/1B3PK1/1N6 w - - 1 30,a5a4,0,-1,31,0,4
r7/pk3pB1/n2p4/1P1Rp2p/4N3/5N2/P1P1PP1P/4K3 w - - 1 18,b5a6,1,7,37,0,5
1n1k1bn1/4p1r1/7p/1pPP1p2/5P2/P5Q1/1PP3P1/RN2K3 b Q - 1 17,g7g3,1,6,18,0,1
5R2/3k4/2pnpp2/p5R1/3P4/8/3P3K/2B5 w - - 1 37,g5c5,0,8,32,0,3
3kBb1r/p1p3pp/n6n/2prpp2/5P2/1PP1P1PN/P2N4/R3KR2 b - - 1 16,h6f7,0,-1,22,0,5
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,b7b6,0,0,20,0,0
1n5R/1p1k4/r1pP4/P5p1/1n6/4P3/5K2/1NB5 w - - 1 30,h8h6,0,0,27,0,1
2b4k/3p1r1p/6p1/2R1ppP1/7P/B7/8/5K2 w - - 1 33,c5c1,0,-3,20,0,2
3r4/6pp/p1n1k3/8/P4BP1/6R1/6K1/8 b - - 1 33,e6f6,0,-1,31,0,6
r1bqkbnr/pppnpppp/3p4/8/8/1P3P2/P1PPP1PP/RNBQKBNR w KQkq - 1 3,h2h3,0,0,20,0,1
rn1q1kn1/1p1bpp2/2p3p1/p7/3PP3/5P2/PPP5/RN4K1 w - - 1 13,g1h1,0,-15,17,0,3
r6r/p1pn1p1p/1p2k2p/1P4q1/8/4P3/5PPP/4KBNR w K - 1 17,e1e2,0,-12,16,0,1
2b5/r7/8/p4P2/4p3/b2k4/6K1/8 w - - 1 38,g2g1,0,-12,8,0,0
qn2k1nr/7R/b7/p1P5/5p2/7P/PPP1K3/8 w - - 1 24,e2d1,0,-15,5,1,0
2r3n1/6k1/8/8/p4PK1/N1Pp4/PP6/6N1 b - - 1 29,g7g6,0,0,21,0,0
1q3b2/nk6/3p4/1p1P1K2/1P3PN1/8/8/n7 w - - 1 40,g4h6,0,-14,11,0,4
5k2/5p2/1p3P2/2p1N3/5r2/8/5K2/8 w - - 1 35,f2e1,0,-4,7,1,0
4K1k1/8/8/8/4P1P1/8/2p1B3/2B5 w - - 1 40,c1a3,0,7,19,0,1
r1bq2nr/ppppk1pp/5p2/4p3/1P5P/2P3P1/3PPP2/RNBQKBNR w KQ - 1 7,g1h3,0,5,28,0,1
1nb2r1b/rp1p4/p2P1pk1/2p3p1/P7/3PP1P1/1P4PP/R2QKBNR w K - 1 17,d1b1,0,8,28,0,2
r4b2/p3pkpr/n1B2n2/8/5p1P/8/PP1KPP2/1RB1Q2R w - - 1 15,c6d7,0,7,30,0,2
6k1/P7/8/3p2p1/3P1p2/1RP2K2/8/8 w - - 1 40,a7a8q,1,5,17,0,3
1nbb2n1/2pk1p2/8/pp6/P6r/1PP4R/4P1K1/RN4N1 w - - 1 26,h3h4,1,-1,23,0,1
1rb2k2/p7/8/1p3p2/3P2PP/P1B2P2/4P1K1/8 w - - 1 27,a3a4,0,-2,21,0,3
rnb1kbnr/pp1pppp1/1q5p/8/3Q1N2/8/PPP1PPPP/RNB1KB1R w KQkq - 1 5,d4b6,1,0,44,0,4
r3k2r/ppp1n3/n4p2/P4b2/1PP2P1p/N6p/4PK1P/3Q2NR b kq - 1 16,a6b4,1,1,33,0,3
rnbqkbnr/pppppppp/8/8/8/5P1P/PPPPP1P1/RNBQKBNR w KQkq - 1 3,a2a4,0,0,18,0,1
r1bqkb1r/p1p1np1p/1pnp4/8/3PP3/8/PPP2PPP/RNQ1KBNR b KQkq - 1 6,c6d4,1,-1,30,0,4
8/8/7k/3p4/4p1P1/2P1P2B/8/2BK4 b - - 1 32,h6h7,0,7,5,0,1
1n5r/4k2p/1P5b/5pp1/4P3/8/7P/1N2KR2 b - - 1 21,f5e4,1,-3,21,0,1
r2qkbnr/pp2pppp/2p5/3p4/P5b1/R3PN2/1PPP1PPP/1NBQK2R b Kkq - 1 6,e8d7,0,0,33,0,3
8/2p3k1/6pb/1p6/2B5/B7/7p/1b3K2 b - - 1 28,h2h1q,1,-4,22,0,1
8/8/2p2p2/p7/2kP3P/5BP1/8/1R2K1R1 b - - 1 32,c6c5,0,13,6,0,4
4k3/r7/p2P1p2/P4K2/2Pp4/b4p2/5P2/8 w - - 1 30,f5f6,1,-8,8,0,3
r1r3k1/pppb2pp/3p4/5p1n/2PP2nP/P4P2/P3P1B1/R1BQK1NR w KQ - 1 15,f3g4,1,9,26,0,4
8/3k2p1/8/p3pKP1/8/P7/P4P2/6R1 b - - 1 29,d7d6,0,6,10,0,1
2b1kbnr/r2ppp2/np3p2/8/3N4/6pP/PPPQ4/2R1K1R1 b k - 1 17,h8h3,1,-2,24,0,1
bn1qk1n1/2pp1p2/8/4N1p1/8/3P1P2/2PKP3/5Q2 w - - 1 19,f1c1,0,-6,27,0,2
rnbqkb1r/p2ppppp/7n/2p5/2P5/PQ6/3PPPPP/RNB1KBNR b KQkq - 1 6,h6f5,0,0,21,0,1
6k1/8/8/6B1/4PRKP/8/2P3P1/8 w - - 1 34,g5d8,0,12,21,0,2
r1bqkbnr/1pp1ppp1/p7/3pn1Np/8/6P1/PPPPPP1P/RNBQKBR1 b Qkq - 1 6,a8a7,0,0,32,0,2
8/4k3/1P6/3p4/1P5R/8/1P1N2P1/2B1KB2 w - - 1 26,h4e4,0,17,30,0,3
8/2k3p1/2n1p1p1/1p3p2/1P3P2/5K2/7P/8 w - - 1 28,h2h3,0,-5,7,0,2
1n3k2/7R/1p6/2pN1p2/P4P2/8/P1PP2K1/R1B5 w - - 1 22,d5b6,1,15,38,0,1
6k1/8/p4P2/8/8/P7/4K3/3R4 w - - 1 31,e2d2,0,6,23,0,2
rn6/1p6/p1P1Nn1k/2r5/2N5/4P1P1/P2P1K2/R1B5 w - - 1 24,e6c5,1,1,31,0,3
6k1/3rp3/3pp1P1/1p5p/p2P4/n3P3/P4Kb1/8 w - - 1 30,e3e4,0,-13,8,0,2
r1bqkbnr/pppppppp/8/1B5Q/P7/1n5P/2PP1PP1/RNB1K1NR b KQkq - 1 6,b3a5,0,-2,19,0,1
8/8/k1P4p/p7/4p1PP/4P3/8/2K5 w - - 1 40,g4g5,0,1,8,0,1
rn1q2n1/1bpp3r/P5pp/4pk2/2P1p3/6PN/P1NP1P1P/R3KB1R w KQ - 1 13,e1c1,0,-8,27,0,2
rnbq1b1r/1p2pp1p/4k2P/8/1p5P/7R/P1PPP1P1/R1BQKBN1 b Q - 1 12,b7b6,0,2,34,0,4
1nbqkbnr/1ppppppp/7r/p7/3P4/1P4P1/P1P1PP1P/RNBQKBNR w KQk - 1 4,c1h6,1,0,30,0,2
7R/5k2/6p1/N3pp2/8/R1P5/5PP1/4K1N1 w - - 1 28,g1h3,0,16,34,0,1
rn1qkbnr/1pp1pppp/3p4/p7/7P/N6b/PPPPPP1R/R1BQK1N1 b Qkq - 1 5,f7f5,0,-4,31,0,1
4k3/4pp2/3p4/1pp2Pp1/5P2/8/P3P1q1/3K1BN1 b - - 1 30,g2f1,1,-5,26,0,4
rn2kbnr/2qpppp1/Bpp5/7P/1P5P/N4P2/P1PP1P2/R1BQK2R w KQkq - 1 9,d2d3,0,2,27,0,1
3rk3/8/p6p/5pp1/4P1P1/5P2/P1P4N/R3KBR1 b - - 1 26,d8d4,0,12,19,0,3
2b1kb1r/3pp2p/7n/p1p3p1/P1P3p1/8/1B1PPP1P/RN2KBNR b KQk - 1 10,e8f7,0,7,14,0,1
r1bqkb1r/ppp1pppp/2np1n2/8/3P1P2/7P/PPP1P1P1/RNBQKBNR w KQkq - 1 4,b1a3,0,0,24,0,3
4kb2/4ppp1/8/p2pB1P1/1q2PK2/1P5B/2P5/qq6 b - - 1 25,a1e5,1,-25,40,0,5
rnbqkbnr/p1pp2pp/8/1p2p3/8/1P3P2/P1PP1P1P/RNBQKB1R b kq - 1 6,h7h6,0,-3,30,0,1
4q3/1P1k4/4p3/2p5/2P4r/8/2K5/1N3R2 w - - 1 36,b7b8q,1,-6,26,0,1
8/2k5/7r/2p1p3/8/R7/1PP5/2K5 b - - 1 31,c5c4,0,0,24,0,2
3rk3/8/1p3n2/8/2P2P2/p3p2P/6B1/2K5 w - - 1 28,g2a8,0,-5,13,0,4
rn2kb1r/1ppbp1pp/p4p1P/3p4/4P3/P2P3P/P1P2P2/R1BQKBNR w KQkq - 1 9,e4d5,1,9,28,0,2
1rb5/ppppkp2/4pq2/8/3QP3/6P1/PPP2P1P/RN2KBNR w KQ - 1 12,f1c4,0,12,44,0,4
Q7/1b6/1k3p1p/8/6pP/8/4pP2/4KB2 b - - 1 29,e2f1q,1,7,20,0,3
1nb2b2/1pp4r/r3k3/3p3p/3P4/2P5/PP1N1P1P/R1B1K3 b Q - 1 16,e6d7,0,-6,36,0,3
2B5/6Np/5k2/2p5/3r4/1P6/2PP1K1P/6NR b - - 1 23,f6g6,0,11,22,0,4
5k2/4p3/2p5/1p2p3/6P1/p7/6N1/2K5 b - - 1 34,f8g7,0,-1,9,0,2
8/3k4/4p1p1/4Pp2/6Pp/2K5/1n6/1R6 b - - 1 34,f5g4,1,0,14,0,2
8/6k1/1R6/2p2n1p/2P5/4P3/3Q2KP/3R4 w - - 1 27,d1c1,0,17,46,0,4
Qn5B/2r1kp1p/7R/pp6/5PP1/8/P7/R4K2 b - - 1 19,b8a6,0,13,21,0,0
r7/3p4/6kn/7p/7P/6b1/2P5/6K1 w - - 1 32,c2c3,0,-11,5,0,0
rnb2br1/pp6/5k2/2PN1p2/2P5/3KP3/P6P/3R1B2 b - - 1 18,f6g5,0,-6,6,1,2
4r3/8/r6k/4p2P/8/P7/6K1/4B3 w - - 1 36,e1c3,0,-6,16,0,0
8/8/1p5k/7p/1p1p4/N4PR1/2PP3K/2BQN3 b - - 1 27,b4a3,1,22,6,0,0
rnbqkbnr/2ppppp1/1p5p/p7/P7/R3P3/1PPP1PPP/1NBQKBNR b Kkq - 1 4,c7c6,0,0,20,0,0
1rbq1r2/p1pp1k1p/np2p2p/1P3p2/8/R1PP3P/3NPPP1/3QKBNR w K - 1 11,d2c4,0,2,29,0,3
rnbk2nr/p2p1p1R/3b4/4p1p1/8/4PNP1/PPPP1P2/1RBQKB2 w - - 1 10,b2b4,0,8,35,0,3
3Bkb2/3n2pr/1p6/5P1p/2B5/5K2/P6P/2q4R b - - 1 31,c1h1,1,-9,33,0,1
rn2k1N1/1pp3p1/p4p1r/7p/8/b6P/PPPPNP2/R1BQK2R w KQq - 1 10,g8h6,1,12,24,0,1
5r2/3p1k2/3Q3p/4p3/6pP/2P5/PP3P2/RNB1K2R w KQ - 1 20,d6h6,1,21,45,0,4
1k6/7p/4p2P/2pb4/5p2/8/1K3P2/8 b - - 1 38,b8c8,0,-5,18,0,3
r1bqkb1r/pppppppp/2n4n/5P2/8/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3,g2g4,0,0,20,0,0
n7/2p1p1kr/3p3b/1p5p/7P/8/2K5/8 b - - 1 38,a8b6,0,-15,19,0,1
8/7k/6R1/8/4P3/1r6/8/3K4 w - - 1 37,g6g1,0,1,20,0,1
8/2k5/8/1p6/8/6p1/3K4/8 b - - 1 37,c7b7,0,-2,10,0,0
1k6/8/Q7/6K1/P7/8/2PP2B1/R1B5 w - - 1 40,g5h6,0,23,44,0,2
6q1/3npkb1/p2p1pp1/8/1p6/3PPB2/PPP1KP2/RNB5 b - - 1 21,f7e8,0,-1,26,0,3
rnbqk2r/p1pp1p2/1Q2p2n/6p1/7p/P1PP4/4PPPP/RN2KBNR b KQq - 1 9,a7a5,0,0,27,0,1
2bq2nr/3Qp2p/8/1p2k1p1/1P5P/5P2/2P3P1/4K1NR w - - 1 19,e1d1,0,-2,35,0,3
rn4q1/pppbkpp1/2p1p3/8/2P1P1P1/4B2P/P3KP2/R4BNR w - - 1 15,e3c1,0,-2,29,0,3
r1b1kb1r/1p2pp2/n1p4p/pN1p4/6P1/P3PNP1/1PPP4/R1B2K2 b kq - 1 12,c6b5,1,-5,25,0,2
2b2k1r/3pn3/2N1pp1p/2p3p1/8/rPN1P1PP/2PP3R/3QK3 w - - 1 17,c6e7,1,4,35,0,5
2k5/7r/2p2p1n/4p2P/1P5P/B2P1P2/N3B3/4K3 w - - 1 28,f3f4,0,3,13,0,2
r4k1r/p1p2ppp/6n1/8/2P1Pp2/1P5P/3K1P2/6qR b - - 1 17,g1f1,0,-18,33,0,1
3rk3/p2ppp2/8/P1PP3r/3P4/5p2/2PK1P2/b7 w - - 1 21,c5c6,0,-12,10,0,1
r3k1nr/1pp2p2/4pb2/p2p3p/P1P5/1P4P1/R2PPP2/3QKB2 w - - 1 17,a2c2,0,1,20,0,1
1r1q1bnr/pbp1k1p1/2pp3p/5p2/5P2/2N2P2/P2PP2P/R1BQKB1R w KQ - 1 14,a1b1,0,-1,23,0,4
1n6/5k2/3P4/pPp2n1P/8/3P4/P7/R4K2 w - - 1 32,a2a3,0,2,15,0,1
8/4k2N/8/2K5/Q5P1/2N5/PP6/q7 b - - 1 39,e7d8,0,9,12,0,0
rnk5/p6r/6n1/1b1p4/8/2K1PP2/PP5b/7R b - - 1 28,g6f8,0,-15,42,0,3
8/3k4/8/1P5p/3P4/4PPQ1/2P2K2/2B5 b - - 1 39,h5h4,0,16,6,0,0
rnbqkb1r/pppppppp/8/8/7P/5N2/PPPPKnP1/RNBQ1B1R b kq - 1 4,f2h1,1,-2,25,0,1
2b4r/1p1Qbp1p/pk4pn/4p3/4p3/2P5/PP1PK2P/R1B2BN1 w - - 1 17,d7c8,1,7,35,0,3
rnq2bnr/p3p1pp/3k4/8/4P2P/2P5/PP1P4/1RB1KBNR w K - 1 14,g1f3,0,-7,25,0,2
6k1/1Rp4p/8/2P5/8/3B4/2Nb2PP/4K3 w - - 1 29,e1d2,1,9,5,1,2
rn1q1k2/1p3p2/p2p1p2/2P5/3PP1N1/P1K5/5P2/5B2 w - - 1 23,g4e3,0,-11,26,0,4
r1r3k1/1b2np2/8/pP6/2B1P1pR/1P4P1/P2RK3/6N1 b - - 1 25,c8c4,1,2,22,0,3
7r/5p1p/1P6/2b5/5k1n/2P5/3K4/8 w - - 1 34,d2e1,0,-11,8,0,1
2B2k2/1p2p3/7n/3p4/p3p3/6P1/1K6/8 b - - 1 34,f8f7,0,-4,15,0,1
4rkn1/2p1p2r/1p6/p5PB/4p3/1P6/P1P2PP1/RN2K1N1 b Q - 1 18,c7c5,0,2,19,0,0
1nbr2k1/1pp4p/3pr1P1/p6p/P1PP4/4n3/8/2K5 w - - 1 26,c1b2,0,-21,7,0,2
8/8/N1p1k3/3R4/8/1PP5/2Q1P3/4KB2 b - - 1 30,e6d5,1,22,6,0,3
r1b1kb1r/pp1nppp1/3p3p/2p5/1q4nP/2P1PQ1N/P2P1PP1/RNB1K2R b KQkq - 1 9,b4b1,1,-4,39,0,6
3k4/5p2/5K2/7p/5r2/8/8/8 w - - 1 40,f6e5,0,-7,3,1,1
2q1kb1r/1p2ppp1/n2p4/1P1n1b1p/5P2/4P1P1/3K3P/6NR b k - 1 17,d5f4,1,-19,45,0,2
rnbqk2r/ppp1p1bp/6P1/3p1n2/1P5P/N6R/P1PPPP2/R1BQKBN1 w Qkq - 1 8,h3f3,0,2,26,0,0
2b1k1nr/1p2p2p/2r3pb/3p1p2/2P4P/8/PBNPPPP1/R2QKBNR w KQk - 1 12,a2a4,0,13,33,0,4
rn2k1n1/2pp4/4p1p1/p4p2/2P1bP2/P6B/PB1P3P/3RK3 b q - 1 15,e6e5,0,-3,27,0,3
3r3r/p4k2/2p4p/4R3/pB6/1N3KP1/3P4/R7 w - - 1 31,d2d4,0,4,45,0,4
1r4nr/3k3p/8/p7/5p2/N1P4P/3K4/7q b - - 1 31,h1h3,1,-20,43,0,2
1nb1k3/2p5/1p2p1p1/3R4/6pP/8/2r5/4K3 w - - 1 29,d5b5,0,-10,17,0,2
rn2kbnr/3qpppp/bp6/2pp4/8/P3PP1P/1PPP1KP1/RNBQ2NR w kq - 1 7,g2g3,0,-2,21,0,2
rnbqkbnr/4pppp/p1pp4/1p6/3P4/BP2P2P/P1P2PP1/RN1QKBNR b KQkq - 1 5,c8h3,1,0,27,0,2
1r1q1b2/1p2p2p/4kn1R/p7/3P4/P2P4/RP1NKP2/2B3r1 b - - 1 20,f8h6,1,-8,32,0,6
r3k2n/p7/2p5/p4p1K/3P4/8/2P5/3R4 b - - 1 30,e8f8,0,-5,14,0,2
4k2r/6R1/2pn4/5B1p/8/b2P1P2/2P2P1P/3K4 w - - 1 28,h2h3,0,0,31,0,3
2b1kb1r/rp1pp2p/p4n2/4qP2/7P/N2P4/PPP1Q1P1/R3KB1R b KQk - 1 11,e5e2,1,-1,37,0,5
rn1qkbnr/2p1p1pp/1p1p4/p4K1Q/2P5/8/PP1P1PPP/RNB2BNR b kq - 1 7,g7g6,0,3,2,1,1
1nbqkb1r/4pp1p/7n/rPpp4/7Q/N3P3/1PPP1PPP/2B1KBNR b Kk - 1 9,a5a3,1,-2,32,0,3
rn1k4/7r/p2pb3/7p/N2q4/3p1PPP/1PP5/1R2K1R1 b - - 1 23,d4g1,1,-11,53,0,5
